filepaths,labels,data set
train/average/0001.jpg,average,train
train/average/0002.jpg,average,train
train/average/0003.jpg,average,train
train/average/0004.jpg,average,train
train/average/0005.jpg,average,train
train/average/0006.jpg,average,train
train/average/0007.jpg,average,train
train/average/0008.jpg,average,train
train/average/0009.jpg,average,train
train/average/0010.jpg,average,train
train/average/0011.jpg,average,train
train/average/0012.jpg,average,train
train/average/0013.jpg,average,train
train/average/0014.jpg,average,train
train/average/0015.jpg,average,train
train/average/0016.jpg,average,train
train/average/0017.jpg,average,train
train/average/0018.jpg,average,train
train/average/0019.jpg,average,train
train/average/0020.jpg,average,train
train/average/0021.jpg,average,train
train/average/0022.jpg,average,train
train/average/0023.jpg,average,train
train/average/0024.jpg,average,train
train/average/0025.jpg,average,train
train/average/0026.jpg,average,train
train/average/0027.jpg,average,train
train/average/0028.jpg,average,train
train/average/0029.jpg,average,train
train/average/0030.jpg,average,train
train/average/0031.jpg,average,train
train/average/0032.jpg,average,train
train/average/0033.jpg,average,train
train/average/0034.jpg,average,train
train/average/0035.jpg,average,train
train/average/0036.jpg,average,train
train/average/0037.jpg,average,train
train/average/0038.jpg,average,train
train/average/0039.jpg,average,train
train/average/0040.jpg,average,train
train/average/0041.jpg,average,train
train/average/0042.jpg,average,train
train/average/0043.jpg,average,train
train/average/0044.jpg,average,train
train/average/0045.jpg,average,train
train/average/0046.jpg,average,train
train/average/0047.jpg,average,train
train/average/0048.jpg,average,train
train/average/0049.jpg,average,train
train/average/0050.jpg,average,train
train/average/0051.jpg,average,train
train/average/0052.jpg,average,train
train/average/0053.jpg,average,train
train/average/0054.jpg,average,train
train/average/0055.jpg,average,train
train/average/0056.jpg,average,train
train/average/0057.jpg,average,train
train/average/0058.jpg,average,train
train/average/0059.jpg,average,train
train/average/0060.jpg,average,train
train/average/0061.jpg,average,train
train/average/0062.jpg,average,train
train/average/0063.jpg,average,train
train/average/0064.jpg,average,train
train/average/0065.jpg,average,train
train/average/0066.jpg,average,train
train/average/0067.jpg,average,train
train/average/0068.jpg,average,train
train/average/0069.jpg,average,train
train/average/0070.jpg,average,train
train/average/0071.jpg,average,train
train/average/0072.jpg,average,train
train/average/0073.jpg,average,train
train/average/0074.jpg,average,train
train/average/0075.jpg,average,train
train/average/0076.jpg,average,train
train/average/0077.jpg,average,train
train/average/0078.jpg,average,train
train/average/0079.jpg,average,train
train/average/0080.jpg,average,train
train/average/0081.jpg,average,train
train/average/0082.jpg,average,train
train/average/0083.jpg,average,train
train/average/0084.jpg,average,train
train/average/0085.jpg,average,train
train/average/0086.jpg,average,train
train/average/0087.jpg,average,train
train/average/0088.jpg,average,train
train/average/0089.jpg,average,train
train/average/0090.jpg,average,train
train/average/0091.jpg,average,train
train/average/0092.jpg,average,train
train/average/0093.jpg,average,train
train/average/0094.jpg,average,train
train/average/0095.jpg,average,train
train/average/0096.jpg,average,train
train/average/0097.jpg,average,train
train/average/0098.jpg,average,train
train/average/0099.jpg,average,train
train/average/0100.jpg,average,train
train/average/0101.jpg,average,train
train/average/0102.jpg,average,train
train/average/0103.jpg,average,train
train/average/0104.jpg,average,train
train/average/0105.jpg,average,train
train/average/0106.jpg,average,train
train/average/0107.jpg,average,train
train/average/0108.jpg,average,train
train/average/0109.jpg,average,train
train/average/0110.jpg,average,train
train/average/0111.jpg,average,train
train/average/0112.jpg,average,train
train/average/0113.jpg,average,train
train/average/0114.jpg,average,train
train/average/0115.jpg,average,train
train/average/0116.jpg,average,train
train/average/0117.jpg,average,train
train/average/0118.jpg,average,train
train/average/0119.jpg,average,train
train/average/0120.jpg,average,train
train/average/0121.jpg,average,train
train/average/0122.jpg,average,train
train/average/0123.jpg,average,train
train/average/0124.jpg,average,train
train/average/0125.jpg,average,train
train/average/0126.jpg,average,train
train/average/0127.jpg,average,train
train/average/0128.jpg,average,train
train/average/0129.jpg,average,train
train/average/0130.jpg,average,train
train/average/0131.jpg,average,train
train/average/0132.jpg,average,train
train/average/0133.jpg,average,train
train/average/0134.jpg,average,train
train/average/0135.jpg,average,train
train/average/0136.jpg,average,train
train/average/0137.jpg,average,train
train/average/0138.jpg,average,train
train/average/0139.jpg,average,train
train/average/0140.jpg,average,train
train/average/0141.jpg,average,train
train/average/0142.jpg,average,train
train/average/0143.jpg,average,train
train/average/0144.jpg,average,train
train/average/0145.jpg,average,train
train/average/0146.jpg,average,train
train/average/0147.jpg,average,train
train/average/0148.jpg,average,train
train/average/0149.jpg,average,train
train/average/0150.jpg,average,train
train/average/0151.jpg,average,train
train/average/0152.jpg,average,train
train/average/0153.jpg,average,train
train/average/0154.jpg,average,train
train/average/0155.jpg,average,train
train/average/0156.jpg,average,train
train/average/0157.jpg,average,train
train/average/0158.jpg,average,train
train/average/0159.jpg,average,train
train/average/0160.jpg,average,train
train/average/0161.jpg,average,train
train/average/0162.jpg,average,train
train/average/0163.jpg,average,train
train/average/0164.jpg,average,train
train/average/0165.jpg,average,train
train/average/0166.jpg,average,train
train/average/0167.jpg,average,train
train/average/0168.jpg,average,train
train/average/0169.jpg,average,train
train/average/0170.jpg,average,train
train/average/0171.jpg,average,train
train/average/0172.jpg,average,train
train/average/0173.jpg,average,train
train/average/0174.jpg,average,train
train/average/0175.jpg,average,train
train/average/0176.jpg,average,train
train/average/0177.jpg,average,train
train/average/0178.jpg,average,train
train/average/0179.jpg,average,train
train/average/0180.jpg,average,train
train/average/0181.jpg,average,train
train/average/0182.jpg,average,train
train/average/0183.jpg,average,train
train/average/0184.jpg,average,train
train/average/0185.jpg,average,train
train/average/0186.jpg,average,train
train/average/0187.jpg,average,train
train/average/0188.jpg,average,train
train/average/0189.jpg,average,train
train/average/0190.jpg,average,train
train/average/0191.jpg,average,train
train/average/0192.jpg,average,train
train/average/0193.jpg,average,train
train/average/0194.jpg,average,train
train/average/0195.jpg,average,train
train/average/0196.jpg,average,train
train/average/0197.jpg,average,train
train/average/0198.jpg,average,train
train/average/0199.jpg,average,train
train/average/0200.jpg,average,train
train/average/0201.jpg,average,train
train/average/0202.jpg,average,train
train/average/0203.jpg,average,train
train/average/0204.jpg,average,train
train/average/0205.jpg,average,train
train/average/0206.jpg,average,train
train/average/0207.jpg,average,train
train/average/0208.jpg,average,train
train/average/0209.jpg,average,train
train/average/0210.jpg,average,train
train/average/0211.jpg,average,train
train/average/0212.jpg,average,train
train/average/0213.jpg,average,train
train/average/0214.jpg,average,train
train/average/0215.jpg,average,train
train/average/0216.jpg,average,train
train/average/0217.jpg,average,train
train/average/0218.jpg,average,train
train/average/0219.jpg,average,train
train/average/0220.jpg,average,train
train/average/0221.jpg,average,train
train/average/0222.jpg,average,train
train/average/0223.jpg,average,train
train/average/0224.jpg,average,train
train/average/0225.jpg,average,train
train/average/0226.jpg,average,train
train/average/0227.jpg,average,train
train/average/0228.jpg,average,train
train/average/0229.jpg,average,train
train/average/0230.jpg,average,train
train/average/0231.jpg,average,train
train/average/0232.jpg,average,train
train/average/0233.jpg,average,train
train/average/0234.jpg,average,train
train/average/0235.jpg,average,train
train/average/0236.jpg,average,train
train/average/0237.jpg,average,train
train/average/0238.jpg,average,train
train/average/0239.jpg,average,train
train/average/0240.jpg,average,train
train/average/0241.jpg,average,train
train/average/0242.jpg,average,train
train/average/0243.jpg,average,train
train/average/0244.jpg,average,train
train/average/0245.jpg,average,train
train/average/0246.jpg,average,train
train/average/0247.jpg,average,train
train/average/0248.jpg,average,train
train/average/0249.jpg,average,train
train/average/0250.jpg,average,train
train/average/0251.jpg,average,train
train/average/0252.jpg,average,train
train/average/0253.jpg,average,train
train/average/0254.jpg,average,train
train/average/0255.jpg,average,train
train/average/0256.jpg,average,train
train/average/0257.jpg,average,train
train/average/0258.jpg,average,train
train/average/0259.jpg,average,train
train/average/0260.jpg,average,train
train/average/0261.jpg,average,train
train/average/0262.jpg,average,train
train/average/0263.jpg,average,train
train/average/0264.jpg,average,train
train/average/0265.jpg,average,train
train/average/0266.jpg,average,train
train/average/0267.jpg,average,train
train/average/0268.jpg,average,train
train/average/0269.jpg,average,train
train/average/0270.jpg,average,train
train/average/0271.jpg,average,train
train/average/0272.jpg,average,train
train/average/0273.jpg,average,train
train/average/0274.jpg,average,train
train/average/0275.jpg,average,train
train/average/0276.jpg,average,train
train/average/0277.jpg,average,train
train/average/0278.jpg,average,train
train/average/0279.jpg,average,train
train/average/0280.jpg,average,train
train/average/0281.jpg,average,train
train/average/0282.jpg,average,train
train/average/0283.jpg,average,train
train/average/0284.jpg,average,train
train/average/0285.jpg,average,train
train/average/0286.jpg,average,train
train/average/0287.jpg,average,train
train/average/0288.jpg,average,train
train/average/0289.jpg,average,train
train/average/0290.jpg,average,train
train/average/0291.jpg,average,train
train/average/0292.jpg,average,train
train/average/0293.jpg,average,train
train/average/0294.jpg,average,train
train/average/0295.jpg,average,train
train/average/0296.jpg,average,train
train/average/0297.jpg,average,train
train/average/0298.jpg,average,train
train/average/0299.jpg,average,train
train/average/0300.jpg,average,train
train/average/0301.jpg,average,train
train/average/0302.jpg,average,train
train/average/0303.jpg,average,train
train/average/0304.jpg,average,train
train/average/0305.jpg,average,train
train/average/0306.jpg,average,train
train/average/0307.jpg,average,train
train/average/0308.jpg,average,train
train/average/0309.jpg,average,train
train/average/0310.jpg,average,train
train/average/0311.jpg,average,train
train/average/0312.jpg,average,train
train/average/0313.jpg,average,train
train/average/0314.jpg,average,train
train/average/0315.jpg,average,train
train/average/0316.jpg,average,train
train/average/0317.jpg,average,train
train/average/0318.jpg,average,train
train/average/0319.jpg,average,train
train/average/0320.jpg,average,train
train/average/0321.jpg,average,train
train/average/0322.jpg,average,train
train/average/0323.jpg,average,train
train/average/0324.jpg,average,train
train/average/0325.jpg,average,train
train/average/0326.jpg,average,train
train/average/0327.jpg,average,train
train/average/0328.jpg,average,train
train/average/0329.jpg,average,train
train/average/0330.jpg,average,train
train/average/0331.jpg,average,train
train/average/0332.jpg,average,train
train/average/0333.jpg,average,train
train/average/0334.jpg,average,train
train/average/0335.jpg,average,train
train/average/0336.jpg,average,train
train/average/0337.jpg,average,train
train/average/0338.jpg,average,train
train/average/0339.jpg,average,train
train/average/0340.jpg,average,train
train/average/0341.jpg,average,train
train/average/0342.jpg,average,train
train/average/0343.jpg,average,train
train/average/0344.jpg,average,train
train/average/0345.jpg,average,train
train/average/0346.jpg,average,train
train/average/0347.jpg,average,train
train/average/0348.jpg,average,train
train/average/0349.jpg,average,train
train/average/0350.jpg,average,train
train/average/0351.jpg,average,train
train/average/0352.jpg,average,train
train/average/0353.jpg,average,train
train/average/0354.jpg,average,train
train/average/0355.jpg,average,train
train/average/0356.jpg,average,train
train/average/0357.jpg,average,train
train/average/0358.jpg,average,train
train/average/0359.jpg,average,train
train/average/0360.jpg,average,train
train/average/0361.jpg,average,train
train/average/0362.jpg,average,train
train/average/0363.jpg,average,train
train/average/0364.jpg,average,train
train/average/0365.jpg,average,train
train/average/0366.jpg,average,train
train/average/0367.jpg,average,train
train/average/0368.jpg,average,train
train/average/0369.jpg,average,train
train/average/0370.jpg,average,train
train/average/0371.jpg,average,train
train/average/0372.jpg,average,train
train/average/0373.jpg,average,train
train/average/0374.jpg,average,train
train/average/0375.jpg,average,train
train/average/0376.jpg,average,train
train/average/0377.jpg,average,train
train/average/0378.jpg,average,train
train/average/0379.jpg,average,train
train/average/0380.jpg,average,train
train/average/0381.jpg,average,train
train/average/0382.jpg,average,train
train/average/0383.jpg,average,train
train/average/0384.jpg,average,train
train/average/0385.jpg,average,train
train/average/0386.jpg,average,train
train/average/0387.jpg,average,train
train/average/0388.jpg,average,train
train/average/0389.jpg,average,train
train/average/0390.jpg,average,train
train/average/0391.jpg,average,train
train/average/0392.jpg,average,train
train/average/0393.jpg,average,train
train/average/0394.jpg,average,train
train/average/0395.jpg,average,train
train/average/0396.jpg,average,train
train/average/0397.jpg,average,train
train/average/0398.jpg,average,train
train/average/0399.jpg,average,train
train/average/0400.jpg,average,train
train/average/0401.jpg,average,train
train/average/0402.jpg,average,train
train/average/0403.jpg,average,train
train/average/0404.jpg,average,train
train/average/0405.jpg,average,train
train/average/0406.jpg,average,train
train/average/0407.jpg,average,train
train/average/0408.jpg,average,train
train/average/0409.jpg,average,train
train/average/0410.jpg,average,train
train/average/0411.jpg,average,train
train/average/0412.jpg,average,train
train/average/0413.jpg,average,train
train/average/0414.jpg,average,train
train/average/0415.jpg,average,train
train/average/0416.jpg,average,train
train/average/0417.jpg,average,train
train/average/0418.jpg,average,train
train/average/0419.jpg,average,train
train/average/0420.jpg,average,train
train/average/0421.jpg,average,train
